amitabh_bachchan	allahabad
llanwarne	herefordshire
herefordshire	geoent_herefordshire_condominium_5775771
neste_oil	espoo
espoo	geoent_nyland_830709
girard_public_library	girard_kansas
adlingfleet	east_riding_of_yorkshire
national_states_rights_party	knoxville_tennessee
metropolitan_tower_new_york	new_york_city
grupo_santander	santander_cantabria
stockholm_mosque	stockholm
lahnstein	rhinelandpalatinate
ahlen	north_rhinewestphalia
american_lafrance	summerville_south_carolina
aranc	geoent_aranc_6446363
arbignieu	geoent_arbignieu_6446366
armix	geoent_armix_6446369
human_cargo	cape_town
waxworks_museum_of_the_castle_of_diósgyőr	miskolc
pocono_record	stroudsburg_pennsylvania
the_record_bergen_county	hackensack_new_jersey
lesser_slave_lake_provincial_park	alberta
communist_party_of_uruguay	montevideo
fatherland_for_all	caracas
fianarantsoa	madagascar
palace_of_art_budapest	budapest
fort_simpson_island_airport	fort_simpson_northwest_territories
hohenheim	badenwürttemberg
daisy_geyser	teton_county_wyoming
martin_luther_king_bridge_st_louis	illinois
lamanon	geoent_lamanon_6447136
slimbridge	gloucestershire
cz_records	seattle
seattle	washington_us_state
sileby	leicestershire
banedanmark	copenhagen
copenhagen	denmark
borek_pragueeast_district	czech_republic
czech_republic	geoent_europe_6255148
bukovina_u_přelouče	czech_republic
ballynoe	county_down
alisa_kwitney	new_york_city
hostovice_pardubice	czech_republic
wakestock_canada	toronto_islands
toronto_islands	ontario
i_men_kai_i_den	athens
praslin_quarter	saint_lucia
mandalay_state_beach	ventura_county_california
south_bank	lt_MiddlesbroughNorth_Yorkshiregt
carrier_corporation	farmington_connecticut
moomin_museum	finland
wvahtv	charleston_west_virginia
midstate_trail_massachusetts	worcester_county_massachusetts
st_ruperts_church	lt_ViennaViennagt
sablésursarthe	geoent_sablésursarthe_6442679
excelsior_geyser	yellowstone_national_park
yellowstone_national_park	park_county_wyoming
reicholzheim	badenwürttemberg
ceignes	geoent_ceignes_6446403
ropes_mansion	salem_massachusetts
mionnay	geoent_mionnay_6424593
oncieu	geoent_oncieu_6424610
pontdeveyle	geoent_pontdeveyle_6424631
saintgermaindejoux	geoent_saintgermaindejoux_6424667
saintmauricedegourdans	geoent_saintmauricedegourdans_6424683
flora_twort_gallery	hampshire
beaufort_island	antarctica
quantico_creek	virginia
sharon_acker	toronto
laborie	saint_lucia
united_states_capitol_shooting_incident_1998	washington_dc
călăraşi	lt_MoldovaMoldovagt
car_colston	geoent_rushcliffe_district_7290619
chain_olakes_state_park_indiana	noble_county_indiana
actewagl	canberra
taggart_hall	hampshire_county_west_virginia
jamestown	lt_South_AustraliaSouth_Australiagt
roemerundpelizaeusmuseum	germany
luzaidevalcarlos	geoent_provincia_de_navarra_6355235
catworth	cambridgeshire
the_offords	cambridgeshire
orwell	lt_CambridgeshireCambridgeshiregt
outwood	lt_SurreySurreygt
saginaw_river	michigan
bützow	mecklenburgvorpommern
mecklenburgvorpommern	germany
youlthorpe	east_riding_of_yorkshire
curbridge	lt_OxfordshireOxfordshiregt
county_school_railway_station	norfolk
lang_lang	lt_VictoriaVictoria_Australiagt
saintsozy	geoent_saintsozy_6434910
mehamn	finnmark
hindmarsh_stadium	hindmarsh_south_australia
albuquerque_public_schools	albuquerque_new_mexico
manoj_bajpai	bihar
llanarth	lt_CeredigionCeredigiongt
richard_ainley	stanmore
westgard_pass	inyo_county_california
arghandab_river	afghanistan
alloway_creek	new_jersey
lantarón	geoent_provincia_de_álava_3130717
axlesthermes	geoent_axlesthermes_6446862
litton	lt_DerbyshireDerbyshiregt
dinner_plain	lt_VictoriaVictoria_Australiagt
timberlane_regional_high_school	plaistow_new_hampshire
lutepää	estonia
cascade_head	tillamook_county_oregon
durham_school	durham
durham	north_east_england
aloxecorton	geoent_aloxecorton_6447551
palgarup	lt_Western_AustraliaWestern_Australiagt
gamarthe	geoent_gamarthe_6440386
ostabatasme	geoent_ostabatasme_6440552
alçayalçabéhétysunharette	geoent_alçayalçabéhétysunharette_6450358
lohitzunoyhercq	geoent_lohitzunoyhercq_6440477
montjoli_airport	montjoli_quebec
biela_river	ltÚstí_nad_Labem_Regiongt
little_flat_brook	new_jersey
consdorf	luxembourg
mexcaltitán	mexico
toogoolawah	lt_QueenslandQueenslandgt
lillebonne	geoent_lillebonne_6443298
hobscheid	luxembourg
sanem	luxembourg
dst_systems	kansas_city_missouri
bruce_rock	lt_Western_AustraliaWestern_Australiagt
lintgen	luxembourg
saintferdinand_aerodrome	saintferdinand_quebec
aoba_island	vanuatu
oliver_chris	royal_tunbridge_wells
royal_tunbridge_wells	kent
alltfawr	gwynedd
dago_creek	alaska
wokingham_without	berkshire
wokingham_without	geoent_district_of_wokingham_3333221
lt29_October_2005_Delhi_bombingsgt	delhi
funtown_splashtown_usa	saco_maine
derrinallum	lt_VictoriaVictoria_Australiagt
britannia_industries	kolkata
ungheni	lt_MureşRomaniagt
keplers_books	menlo_park_california
thyamis	greece
brahma_kumaris_world_spiritual_university	mount_abu
concordia_college_observatory	moorhead_minnesota
grace_albee	rhode_island
lestock	lt_SaskatchewanSaskatchewangt
dinedor	herefordshire
dinedor	geoent_county_of_herefordshire_2647071
una_observatory	florence_alabama
beer_can_museum	bristol_county_massachusetts
pentre_halkyn	flintshire
featherstone	lt_StaffordshireStaffordshiregt
villierslebel	geoent_villierslebel_6446359
aylesby	lincolnshire
bruaysurlescaut	geoent_bruaysurlescaut_6438138
worthington	lt_Greater_ManchesterGreater_Manchestergt
bansin	mecklenburgvorpommern
aldham	lt_EssexEssexgt
redpath_sugar_refinery	canada
san_lorenzo_in_lucina	rome
rome	ciampino
anslow	staffordshire
bergues	geoent_bergues_6450061
nara_national_museum	nara_nara
lasham_airfield	basingstoke
basingstoke	hampshire
woodrow_wilson_middle_school	lt_Edison_New_JerseyEdison_New_Jerseygt
saintvincentdedurfort	geoent_saintvincentdedurfort_6425854
domfrontenchampagne	geoent_domfrontenchampagne_6442565
marlyleroi	geoent_marlyleroi_6444014
chittlehampton	devon
peter_island	british_virgin_islands
thorney	lt_CambridgeshireCambridgeshiregt
dlouhá_stráň	czech_republic
aston	lt_HertfordshireHertfordshiregt
greenmeadow	torfaen
veolia_environnement	paris
paris	lt_KentuckyKentuckygt
paris	geoent_région_îledefrance_3012874
cobham_plc	wimborne_minster
wimborne_minster	dorset
averham	geoent_newark_and_sherwood_district_7290618
xagħra	malta
hogenakkal_falls	tamil_nadu
the_fortress_alberta	alberta
stoke_golding	leicestershire
charles_mill_lake	ashland_county_ohio
national_childrens_museum	prince_georges_county_maryland
beckford	lt_WorcestershireWorcestershiregt
beeston_regis	norfolk
beeston_regis	geoent_north_norfolk_district_7290597
dudhwa_national_park	lakhimpur_kheri_district
bhitarkanika_national_park	orissa
bettwsycrwyn	geoent_county_of_shropshire_2638655
parsnip_river	british_columbia
landrecies	geoent_landrecies_6438315
saales	geoent_saales_6441324
antarvedi	east_godavari_district
sannat	malta
ghasola	bhiwani_district
weissmies	alps
atauro_island	east_timor
edward_waters_college	jacksonville_florida
leah_moore	northampton
blindcrake	geoent_allerdale_district_7290662
dalton	lt_RichmondshireNorth_Yorkshiregt
dalton	lt_MassachusettsBerkshire_County_Massachusettsgt
star_city	lt_SaskatchewanSaskatchewangt
kilmersdon	somerset
summit_place_mall	waterford_township_michigan
little_picacho_wilderness	imperial_county_california
brushford	lt_DevonDevongt
buckland	lt_SurreySurreygt
yountville	lt_CaliforniaCaliforniagt
okemo_mountain	ludlow_town_vermont
treasury_islands	solomon_islands
winnebago_pool	wisconsin
charles_wish	los_angeles
nakamura_kanzaburō_xviii	tokyo
selawik_lake	northwest_arctic_borough_alaska
nethergate_brewery	sudbury_suffolk
alameda_unified_school_district	alameda_california
vaujours	geoent_vaujours_6452006
lindfield	lt_West_SussexWest_Sussexgt
morwenstow	cornwall
gay_hamilton	hamilton_south_lanarkshire
wvawld	charlottesville_virginia
wvirtv	charlottesville_virginia
azela_robinson	london
the_olympian	olympia_washington
crux_easton	hampshire
ben_wootten	essex
islisberg	geoent_bezirk_bremgarten_6458774
scotton	lt_HarrogateNorth_Yorkshiregt
self_aid	rds_arena
rds_arena	ballsbridge
victoria_river_northern_territory	northern_territory
mill_run_south_branch_potomac_river	west_virginia
caldecott	lt_NorthamptonshireNorthamptonshiregt
national_museum_of_mali	mali
kimio_yanagisawa	gosen_niigata
fish_lake_utah	sevier_county_utah
cradle_of_aviation_museum	nassau_county_new_york
palanga_international_airport	palanga
palanga	klaipėda_county
claerwen	wales
malabo_international_airport	malabo
lt888_Holdingsgt	gibraltar
palcho_monastery	gyangzê_county
maywood_avenue_school	maywood_new_jersey
welham_green	hertfordshire
canal_vie	montreal
spreyton	devon
alex_chandon	north_london
pas_river	cantabria
parry_soundfrying_pan_islandsans_souci_water_aerodrome	parry_sound_ontario
pescanova	redondela
swanland	east_riding_of_yorkshire
blackstone_hotel	michigan_avenue_chicago
furus	ratnagiri_district
demotte	lt_IndianaIndianagt
corumbá_river	goiás
goiás	brazil
lyminge	kent
monte_toc	italy
presby_memorial_iris_gardens	montclair_new_jersey
arnes_airport	bifrost_manitoba
deloraine_airport	winchester_manitoba
morden_regional_aerodrome	morden_manitoba
souris_glenwood_industrial_air_park	glenwood_manitoba
steinbach_south_airport	hanover_manitoba
virdenrj_bob_andrew_field_regional_aerodrome	virden_manitoba
winkler_airport	winkler_manitoba
shuwaikh_island	kuwait
lipoltice	czech_republic
jimara	georgia_country
aiai_de_las_alas	philippines
ninepipe_national_wildlife_refuge	lake_county_montana
ogens	geoent_district_du_grosdevaud_7285003
sarzens	geoent_district_de_la_broyevully_7285002
delano_peak	utah
thrintoft	north_yorkshire
amillis	geoent_amillis_6452524
connor	lt_County_AntrimCounty_Antrimgt
wilson_island_west_virginia	west_virginia
lüttringhausen	geoent_kleinsporkert_2888187
newfound_river_virginia	virginia
outdoor_channel	temecula_california
cumberland_house_airport	cumberland_house_saskatchewan
heybridge	lt_MaldonEssexgt
karamchedu	prakasam_district
port_albernisproat_lake_water_aerodrome	port_alberni_british_columbia
unity_aerodrome	unity_saskatchewan
whistlergreen_lake_water_aerodrome	whistler_british_columbia
victoria_airport_water_aerodrome	victoria_british_columbia
la_vanguardia	barcelona
kamaladevi_chattopadhyay	mangalore
luins	geoent_district_de_nyon_7285006
cropthorne	worcestershire
cropthorne	geoent_wychavon_district_7290658
shuttle_landing_facility	titusville_florida
wivenhoe_dam	queensland
lake_moogerah	queensland
dynamo_stadium_moscow	moscow
parkview_school_district	rock_county_wisconsin
pioneer_oval	parkes_new_south_wales
accademia_carrara	bergamo
andrew	lt_AlbertaAlbertagt
swineshead	lt_BedfordshireBedfordshiregt
kimberly_high_school_kimberly	lt_IdahoKimberly_Idahogt
mud_island	lt_MemphisTennesseegt
raica_oliveira	niterói
hugh_taylor_birch_state_park	broward_county_florida
ichetucknee_springs_state_park	columbia_county_florida
beetham_tower	lt_ManchesterManchestergt
kokomo_perspective	kokomo_indiana
east_harptree	somerset
comoé_national_park	côte_divoire
ferring	west_sussex
pere_marquette_beach	michigan
edworthy_park	calgary
lower_rhine	north_rhinewestphalia
yizhou	guangxi
glendon	lt_AlbertaAlbertagt
halkirk	lt_AlbertaAlbertagt
choa_chu_kang_park	singapore
madehurst	west_sussex
endau_rompin_national_park	johor
johor	malaysia
bambalapitiya	geoent_kalubowila_west_1242067
st_olafs_church	lt_TallinnTallinngt
rench	badenwürttemberg
voisinslebretonneux	geoent_voisinslebretonneux_6444103
merthyr_vale	merthyr_tydfil
merthyr_vale	geoent_county_borough_of_merthyr_tydfil_3333243
institute_of_legal_executives	bedford
bedford	lt_VirginiaVirginiagt
bedford	lt_IndianaIndianagt
bedford	bedfordshire
athani_kerala	thrissur_district
mugg__bean	johannesburg
cinderella_city	englewood_colorado
neena_gupta	india
bedias	lt_TexasTexasgt
valka	latvia
balgarska_armiya_stadium	sofia
forney_independent_school_district	forney_texas
providence_stadium	providence_guyana
westville_georgia	stewart_county_georgia
killinchy	county_down
lee_boardman	manchester
manchester	north_west_england
estadio_hernán_ramírez_villegas	pereira_colombia
stade_saintsymphorien	metz
murr_river	badenwürttemberg
inca_manco_cápac_international_airport	juliaca
sett_valley_trail	derbyshire
the_advocate_louisiana	baton_rouge_louisiana
moomba	lt_South_AustraliaSouth_Australiagt
gomal_river	afghanistan
sitra	bahrain
linfox	essendon_fields_victoria
c_v_sridhar	chengalpattu
pier_art_gallery	orkney
raccoon_creek_beaver_county	lt_PennsylvaniaPennsylvaniagt
newtownstewart	county_tyrone
longford_river	london
the_advocate_contra_costa_college	san_pablo_california
carlos_mérida	guatemala_city
museu_picasso	barcelona
foster_air_force_base	victoria_county_texas
delčevo	republic_of_macedonia
hutton_lake_national_wildlife_refuge	albany_county_wyoming
korat_royal_thai_air_force_base	nakhon_ratchasima
sowerby	lt_West_YorkshireWest_Yorkshiregt
christ_church	lt_New_Brunswick_New_JerseyNew_Brunswick_New_Jerseygt
david_wayne_hooks_memorial_airport	tomball_texas
skillet_fork	illinois
whnttv	huntsville_alabama
marianna_hill	santa_barbara_california
newnham	lt_KentKentgt
victory_square	lt_VancouverVancouvergt
diamond_brook	new_jersey
datteln	north_rhinewestphalia
svinndal	ltØstfoldgt
rotnes	akershus
kenosha_southport_light	kenosha_wisconsin
pipestone_creek	alberta
vear	vestfold
helgelandsmoen	buskerud
mukteswaram	east_godavari_district
myklebost	lt_ÅlesundMøre_og_Romsdalgt
range_creek	utah
stanley	lt_VictoriaVictoria_Australiagt
carlin_how	north_yorkshire
fen_ditton	cambridgeshire
fen_ditton	geoent_south_cambridgeshire_district_7290661
sacrower_see	brandenburg
beate_uhse_erotic_museum	berlin
alma	lt_New_BrunswickNew_Brunswickgt
stade_amahoro	kigali
kigali	great_rift_valley
qemal_stafa_stadium	tirana
mercury_brewing_company	essex_county_massachusetts
gilling_west	north_yorkshire
konka_group	shenzhen
ginásio_do_maracanãzinho	são_cristóvão
indonesian_aerospace	bandung
sunningwell	oxfordshire
national_intelligence_coordinating_agency	philippines
edna_doré	bromley
ignacio_pinazo_camarlench	valencia_spain
sydney_olympic_park_hockey_centre	olympic_park
sevenoaks_weald	kent
camp_ravenna_joint_military_training_center	portage_county_ohio
lava_butte	oregon
alta_vehicles	athens
kipling	lt_SaskatchewanSaskatchewangt
arkansas_times	little_rock_arkansas
dumaresq_river	queensland
lourinhã	portugal
golden_hinde_mountain	british_columbia
roman_catholic_diocese_of_norwich	norwich_connecticut
shaheed_chandu_stadium	bogra
höhrgrenzhausen	rhinelandpalatinate
lamèque	new_brunswick
havercroft	west_yorkshire
francillonsurroubion	geoent_francillonsurroubion_6430093
river_colwyn	wales
coronel_fap_alfredo_mendívil_duarte_airport	ayacucho
breim	sogn_og_fjordane
thurgarton	lt_NorfolkNorfolkgt
zhob_river	pakistan
enville	lt_StaffordshireStaffordshiregt
baldwin_county_board_of_education	bay_minette_alabama
robert_ingersoll_aitken	san_francisco
namal_college	rikhi
sillerboån	sweden
erromango	vanuatu
skopje_alexander_the_great_airport	petrovec_republic_of_macedonia
sainthilaire	lt_New_BrunswickNew_Brunswickgt
richard_lindner_painter	hamburg
bol_airport	bol_croatia
david_milne_artist	saugeen_shores_ontario
spencer_museum_of_art	douglas_county_kansas
crestet	geoent_crestet_6451541
beaumontduventoux	geoent_beaumontduventoux_6451519
baumberg	north_rhinewestphalia
trammell_crow_center	dallas
kuzhur	thrissur_district
trotton	west_sussex
ngardmau	palau
ghataprabha_river	karnataka
du_lièvre_river	quebec
stadion_gosir	gdynia
gdynia	poland
nina_tower	hong_kong
moneyslane	county_down
integra_air	lethbridge
yamato_transport	ginza
the_boulevard_trail	great_smoky_mountains_national_park
garnedd_uchaf	snowdonia
brake	lt_Lower_SaxonyGermanygt
roman_catholic_diocese_of_laredo	laredo_texas
costa_cruises	genoa
tour_granite	la_défense
stadion_der_freundschaft_cottbus	cottbus
cottbus	brandenburg
mountain_longleaf_national_wildlife_refuge	calhoun_county_alabama
lavanssurvalouse	geoent_lavanssurvalouse_6433597
swedbank_arena	lt_SolnaSolna_Municipalitygt
estadio_heraclio_tapia	huánuco
landsberg	lt_SaxonyAnhaltSaxonyAnhaltgt
wadena	lt_SaskatchewanSaskatchewangt
loughgilly	county_armagh
tenorio_river	costa_rica
langvatnet_rana	nordland
korea_aerospace_industries	sacheon
beacon	lt_New_YorkNew_Yorkgt
beacon	lt_Western_AustraliaWestern_Australiagt
caledon	lt_County_TyroneCounty_Tyronegt
skea	lt_County_FermanaghCounty_Fermanaghgt
vatnvatnet	bodø
bodø	norway
ltØvrevatnetgt	fauske
fauske	geoent_nordland_fylke_3144301
reichenbach_im_kandertal	geoent_amt_frutigen_6458906
salat_river	france
hiroshima_stadium	hiroshima
kingston_park_stadium	kingston_park
dingdong_dantes	quezon_city
quezon_city	philippines
shirley_cheriton	london
southerndown	vale_of_glamorgan
newton_st_petrock	devon
palau_blaugrana	barcelona
klea_scott	panama_canal_zone
henderson_creek_illinois	illinois
menara_mesiniaga	subang_jaya
nelson_mandela_bay_stadium	port_elizabeth
port_elizabeth	south_africa
løvhaugsåa	hedmark
lavington_sports_ground	albury_new_south_wales
mannar_island	sri_lanka
aloha_state_park	aloha_township_michigan
san_roque_lake	córdoba_province_argentina
little_mill	lt_MonmouthshireMonmouthshiregt
lower_mount_cammerer_trail	great_smoky_mountains_national_park
otto_eberhardt_patronenfabrik	hirtenberg
masmak_fort	saudi_arabia
keokuk_national_cemetery	keokuk_iowa
feiring	lt_NorwayAkershusgt
erganagh	county_tyrone
dulichium	greece
kharkiv_supermarket_bombings	kharkiv
kharkiv	ukraine
monléonmagnoac	geoent_monléonmagnoac_6440834
little_menominee_river	illinois
chakkarakadavu	ernakulam_district
morialta_conservation_park	adelaide
adelaide	south_australia
tourtour	geoent_tourtour_6445077
sunward_aerospace_group	toronto
southport_central	gold_coast_queensland
foldereid	nordtrøndelag
rhode_island_auditorium	providence_rhode_island
gorno_nerezi	republic_of_macedonia
arkabutla_lake	desoto_county_mississippi
nelaug_lake	froland
sant_jaume_denveja	geoent_comarca_del_montsià_6457321
saskatchewan_transportation_company	regina_saskatchewan
stryama	bulgaria
winsor	lt_HampshireHampshiregt
woensel	geoent_philipswijk_2748622
niederwampach	luxembourg
miracle_food_mart	ontario
delaware_art_museum	wilmington_delaware
osweiler	luxembourg
llyn_fanod	ceredigion
cattenom	geoent_cattenom_6437430
towie	aberdeenshire
cultus_lake_oregon	deschutes_county_oregon
sinajana	lt_GuamGuamgt
veliyanad	ernakulam_district
skjerjavatnet	vaksdal
vaksdal	hordaland
gravatnet	sirdal
sirdal	geoent_vestagder_fylke_3132064
victoria_stadium_gibraltar	gibraltar
corris_uchaf	gwynedd
movatnet	nordtrøndelag
ravenscroft_school	raleigh_north_carolina
florida_state_road_867	iona_florida
goodwood_plantation	leon_county_florida
koromilea	lt_MesseniaGreecegt
ernzen	luxembourg
reckange	luxembourg
hollenfels	luxembourg
rimo_i	india
great_barrier_airlines	auckland
abtsdorf	saxonyanhalt
saxonyanhalt	germany
cargèse	geoent_cargèse_6448121
assel	luxembourg
wintrange	luxembourg
arthur_hohl	pennsylvania
předměřice_nad_jizerou	czech_republic
muslim_aid	united_kingdom
nothum	luxembourg
metamora_courthouse_state_historic_site	woodford_county_illinois
llangain	carmarthenshire
carmarthenshire	geoent_wales_2634895
paley_park	manhattan
solitary_geyser	yellowstone_national_park
sanskar_kendra	gujarat
haines_falls_railroad_station	hunter_town_new_york
lt2006_Ryder_Cupgt	county_kildare
nahr_ibrahim	lebanon
great_east_lake	carroll_county_new_hampshire
sherpi_kangri	india
sutton_scarsdale_hall	sutton_scarsdale
sutton_scarsdale	derbyshire
lignyenbarrois	geoent_lignyenbarrois_6437075
lt1992_Indianapolis_500gt	indianapolis_motor_speedway
orel_chrudim_district	czech_republic
jasmine_trinca	rome
ustaoset	buskerud
eugene_weekly	eugene_oregon
spofford_lake	cheshire_county_new_hampshire
rozhovice	czech_republic
olympic_green_tennis_center	lt_BeijingBeijinggt
congregation_beth_elohim_brooklyn	lt_New_YorkPark_Slope_Brooklyngt
nanjing_olympic_sports_center	nanjing
nanjing	jiangsu
dâmbovnic_river	romania
pommard	geoent_pommard_6428811
cotkytle	czech_republic
lake_almanor	plumas_county_california
tregaswith	cornwall
skallelv	finnmark
highfields	lt_QueenslandQueenslandgt
john_r_rogers_high_school	spokane_washington
alicetown	geoent_korokoro_2188648
east_witton	north_yorkshire
marrick	north_yorkshire
counterstrike_1990_tv_series	toronto
motebennur	haveri_district
ira_s_wilson_ice_arena	geneseo_new_york
sabah_al_salem_stadium	kuwait_city
kuwait_city	kuwait
imate	dubai_internet_city
dubai_internet_city	dubai
villeblevin	geoent_villeblevin_6446069
uchumi_supermarkets	nairobi
unisource_energy_tower	tucson_arizona
bad_zwesten	schwalmederkreis
schwalmederkreis	geoent_regierungsbezirk_kassel_2892513
hyggen	buskerud
joliet_union_station	joliet_illinois
upen_patel	london
lt1957_Moroccan_Grand_Prixgt	aindiab_circuit
cauayan_airport	cauayan_city
cauayan_city	philippines
forth_to_firth_canal_pathway	scotland
laughing_whitefish_river	michigan
uhingen	badenwürttemberg
kōge	lt_FukuokaFukuoka_Prefecturegt
national_ornamental_metal_museum	memphis_tennessee
colney_street	hertfordshire
kjerringøy	nordland
bandō_mitsugorō_viii	tokyo
interoute	london
schlitz	lt_HesseHessegt
hope_recordings	bristol
bristol	united_kingdom
eisenberg	lt_ThuringiaThuringiagt
raška_river	serbia
rmaf_butterworth	butterworth_penang
ltŠumarice_Memorial_Parkgt	serbia
låtefossen	odda
marjorie_rhodes	kingston_upon_hull
kingston_upon_hull	united_kingdom
barsakelmes	kazakhstan
wsjncd	san_juan_puerto_rico
entrayguessurtruyère	geoent_entrayguessurtruyère_6447100
the_sunday_times_south_africa	johannesburg
city_of_alachua_downtown_historic_district	alachua_florida
trevinca	galicia_spain
tosna_river	leningrad_oblast
pilleth	powys
omnex	ann_arbor_michigan
beecher_island	yuma_county_colorado
ukrtelecom	kiev
shingle_street	suffolk
granma_baseball	bayamo
peggy_knudsen	duluth_minnesota
john_f_kennedy_stadium_bridgeport	bridgeport_connecticut
chris_eliopoulos	astoria_queens
killik_river	alaska
chunky_pandey	gorakhpur
waukesha_county_airport	pewaukee_wisconsin
qatar_sc_stadium	doha
elfros	lt_SaskatchewanSaskatchewangt
rubicon_river_victoria	victoria_australia
gyland	vestagder
confederation_africaine_de_handball	abidjan
huron_historic_gaol	ontario
ulipuram	salem_district
charltononotmoor	oxfordshire
charltononotmoor	geoent_cherwell_district_7290620
croxton	lt_NorfolkNorfolkgt
anglican_church_of_tanzania	dodoma
yabuli_ski_resort	heilongjiang
cod_beck_reservoir	north_yorkshire
avery_independent_school_district	avery_texas
banks_violette	ithaca_new_york
châtelsurmontsalvens	geoent_district_de_la_gruyère_6458796
la_vega_independent_school_district	bellmead_texas
new_otani	los_angeles
nagara_river	japan
mud_swampnew_river_wilderness	liberty_county_florida
haven_holidays	hemel_hempstead
hemel_hempstead	hertfordshire
otava_river	plzeň_region
christchurch	lt_NewportNewportgt
upton	lt_OxfordshireOxfordshiregt
wheeler_dryden	brixton
antroli	kheda_district
mud_lake_saskatchewan	saskatchewan
medianow	netcong_new_jersey
downtown_st_petersburg_historic_district	st_petersburg_florida
fort_myers_downtown_commercial_district	fort_myers_florida
savoy_independent_school_district	savoy_texas
rezidor_hotel_group	brussels
burning_of_jaffna_library	jaffna
rachelle_leah	san_carlos_california
zions_securities	salt_lake_city
centralcocoanut_historic_district	sarasota_florida
green_dome_maebashi	gunma_prefecture
batu_pahat_river	johor
strawn_independent_school_district	strawn_texas
stoney_middleton	derbyshire
stoney_middleton	geoent_derbyshire_dales_district_7290670
brokes	north_yorkshire
debbie_dickinson	hollywood_florida
museum_of_transportation	st_louis_county_missouri
schinznachbad	geoent_bezirk_brugg_6458826
rospuda	poland
st_la_salle_hall	malate_manila
greenville_zoo	greenville_south_carolina
del_campo_high_school	fair_oaks_california
hindmarsh_square	lt_AdelaideAdelaidegt
fontenoylajoûte	geoent_fontenoylajoûte_6436608
mayo_general_hospital	castlebar
mount_verstovia	alaska
transwede_airways	gothenburg
gothenburg	sweden
fort_de_tournoux	france
dipignano	geoent_provincia_di_cosenza_2524906
biely_kostol	geoent_kočišské_3059459
vempa	west_godavari_district
grosse_isle	lt_QuebecQuebecgt
bw_group	oslo
allalinhorn	alps
little_norway	lt_WisconsinBlue_Mounds_Wisconsingt
gya	lt_LadakhLeh_districtgt
cowan_bridge	lancashire
west_coker	somerset
madira_bickel_mound_state_archeological_site	manatee_county_florida
birwinken	geoent_bezirk_weinfelden_6458888
kenneth_marshall	new_york_city
buffalo_national_park	alberta
umpqua_river_light	douglas_county_oregon
amin_nazemzadeh	tehran
kunice_pragueeast_district	czech_republic
johns_river	county_waterford
slieve_gullion	county_armagh
králický_sněžník	poland
mathew_bose	london
corpusty	norfolk
helhoughton	norfolk
gimingham	norfolk
martins_fantasy_island	grand_island_new_york
valayanchirangara	ernakulam_district
rümlingen	geoent_bezirk_sissach_6458823
washing_bay	county_tyrone
biloxi_light	biloxi_mississippi
kikhpinych	russia
ta_nea	athens
v_manohar	vitla
vitla	dakshina_kannada_district
miss_england	london
ricaldone	geoent_provincia_di_alessandria_3183298
mario_morales_coliseum	guaynabo_puerto_rico
fusha_sportive_peqin	peqin
ežerėlis	lithuania
isaac_lewis_house_stratford	lt_ConnecticutStratford_Connecticutgt
carrickalinga	lt_South_AustraliaSouth_Australiagt
fort_yuma	imperial_county_california
saintebaume	france
tân_an	lt_Long_AnVietnamgt
tam_kỳ	vietnam
senachwine_lake	putnam_county_illinois
courtyard_by_marriott__downtown_detroit	detroit
detroit	michigan
shyok_river	pakistan
data_design_system	stavanger
stavanger	norway
air_liberté	rungis
rungis	geoent_rungis_6452030
renaissance_college	lt_Hong_KongMa_On_Shan_towngt
elbląg_river	poland
dte_energy_headquarters	detroit
poolinwharfedale	west_yorkshire
king_peak_nevada	nevada
lake_village_airport	lake_village_indiana
southwestern_city_school_district_franklin_county	lt_OhioHilliard_Ohiogt
raf_kimbolton	huntingdon
huntingdon	cambridgeshire
petitot_river	northwest_territories
eastshore_state_park	berkeley_california
boone_square	louisville_kentucky
rainbow_beach	lt_QueenslandQueenslandgt
woodside	lt_South_AustraliaSouth_Australiagt
chiltern_open_air_museum	buckinghamshire
zlarin	croatia
eglisau	switzerland
devils_path_hiking_trail	new_york
kudamatsu	lt_YamaguchiYamaguchi_Prefecturegt
chwilog	gwynedd
old_hendry_county_courthouse	labelle_florida
sarasota_county_courthouse	sarasota_florida
lampedusa_e_linosa	geoent_provincia_di_agrigento_2525763
siurgus_donigala	geoent_provincia_di_cagliari_2525471
shishel	russia
afilm	amsterdam
amsterdam	netherlands
dolmabahçe_clock_tower	istanbul
sanborn_park	san_francisco_bay_area
raf_kings_cliffe	kings_cliffe_northamptonshire
laguna_lakers	laguna_province
brooks_field_wilmington	wilmington_north_carolina
lab_flying_service	haines_alaska
babice_pragueeast_district	czech_republic
kuznetsovsk	ukraine
ternivka	ukraine
kreminna	ukraine
moss_adams	seattle
old_bunnell_state_bank_building	bunnell_florida
apopka_high_school	apopka_florida
vovchansk	ukraine
talne	ukraine
soledar	ukraine
oetwil_am_see	geoent_bezirk_meilen_2659702
selsey_abbey	selsey
selsey	west_sussex
plant_city_union_depot	plant_city_florida
guy_middleton	hove
hove	east_sussex
conchagua_volcano	el_salvador
rokytne	ukraine
grey_towers_castle	glenside_pennsylvania
pennsylvania_state_university_libraries	university_park_pennsylvania
bullpasture_river	virginia
ilha_grande	brazil
river_twiss	north_yorkshire
sarratt	hertfordshire
oban_airport	north_connel
norske_skog_parenco	renkum
pendle_water	lancashire
doncaster_royal_infirmary	doncaster
